Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
EE 516_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 231,Marvin Hutt
EE 517_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 330,Md Abu Sayeed
EE 542_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,ABS Engineering Center 301,Adam Overvig
EE 548_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,McLean 414,Hongbin Li
EE 551_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Joseph Helsing
EE 551_B,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Joseph Helsing
EE 551_C,"Monday, May 13, 2024",11:30 AM,2:30 PM,Kidde 360,Joseph Helsing
EE 552_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Burchard 714,Md Abu Sayeed
EE 553_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Burchard 715,Joseph Helsing
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
EE 556_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Library B12,Mahmoud Al-Quzwini
EE 575_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Babbio 202,Lei Wu
EE 602_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,McLean 414,Bernard Yett
EE 605_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Carnegie 315,Dilip Krishnaswamy
EE 609_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Peirce 220,Jack Winters
EE 627_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Carnegie 316,Yu-Dong Yao
EE 631_A,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Babbio 202,Yi Guo
EE 695_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Burchard 111,Shucheng Yu
EE 695_B,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway North 204,Jiarui Li
EM 322_A,"Saturday, May 4, 2024",8:00 AM,11:00 AM,Babbio 320,Hao Chen
EM 385_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Gateway South 025,Ting Liao
EM 509_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Gateway South 216,Geatesh Tampy
EM 622_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway North 213,Jose Ramirez-Marquez
EM 624_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 220,Carlo Lipizzi
EMT 638_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Babbio 203,Aanand Goel
